(41984, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=65, velocity=83>)
(43008, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=57, velocity=0>)
(43008, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=41, velocity=0>)
(43008, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=65, velocity=0>)
(43008, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=64, velocity=81>)
(43008, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=55, velocity=70>)
(43008, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=48, velocity=75>)
(44032, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=64, velocity=0>)
(44032, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=64, velocity=84>)
(45056, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=55, velocity=0>)
(45056, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=48, velocity=0>)
(45056, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=64, velocity=0>)
(45056, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=62, velocity=82>)
(45056, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=55, velocity=71>)
(45056, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=43, velocity=69>)
(46080, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=62, velocity=0>)
(46080, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=62, velocity=83>)
(47104, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=55, velocity=0>)
(47104, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=43, velocity=0>)
(47104, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=62, velocity=0>)
(47104, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=60, velocity=80>)
(47104, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=52, velocity=70>)
(47104, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=48, velocity=74>)
(49152, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=60, velocity=0>)
(49152, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=52, velocity=0>)
(49152, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=48, velocity=0>)
(50176, <music21.midi.MidiEvent END_OF_TRACK, track=1, channel=None, data=b''>)
